所属公司,设备描述,设备链接,发布日期,相关度评分,来源
航发高频轴带发电机-吉信动力,['航发高频轴带发电机'],https://www.shipoe.com/sell/show-2839.html,2023-03-29T10:24:00,5.2867117,船海装备网
航发高频轴带发电机-吉信动力,['航发高频轴带发电机'],https://www.shipoe.com/sell/show-2839.html,2023-03-29T10:24:00,5.2001734,船海装备网
航发高频轴带发电机-吉信动力,['航发高频轴带发电机'],https://www.shipoe.com/sell/show-2839.html,2023-03-29T10:24:00,5.2001734,船海装备网
航发高频轴带发电机-吉信动力,['航发高频轴带发电机'],https://www.shipoe.com/sell/show-2839.html,2023-03-29T10:24:00,5.141217,船海装备网
航发高频轴带发电机-吉信动力,['航发高频轴带发电机'],https://www.shipoe.com/sell/show-2839.html,2023-03-29T10:24:00,4.878849,船海装备网
航发高频轴带发电机-吉信动力,['航发高频轴带发电机'],https://www.shipoe.com/sell/show-2839.html,2023-03-29T10:24:00,4.878849,船海装备网
东风康明斯发电机组-明泰机电,"['东风康明斯发电机组:发动机型号: 4BT3.9-GM,, 6BT5.9-GM, 6CTA8.9-GM, 6LTAA8.9-GM发电机品牌: Leoy Somer, Stanford, ABB功率范']",https://www.shipoe.com/sell/show-6613.html,2023-03-29T10:22:00,4.5817685,船海装备网
东风康明斯发电机组-明泰机电,"['东风康明斯发电机组:发动机型号: 4BT3.9-GM,, 6BT5.9-GM, 6CTA8.9-GM, 6LTAA8.9-GM发电机品牌: Leoy Somer, Stanford, ABB功率范']",https://www.shipoe.com/sell/show-6613.html,2023-03-27T09:48:00,4.5817685,船海装备网
东风康明斯发电机组-明泰机电,"['东风康明斯发电机组:发动机型号: 4BT3.9-GM,, 6BT5.9-GM, 6CTA8.9-GM, 6LTAA8.9-GM发电机品牌: Leoy Somer, Stanford, ABB功率范']",https://www.shipoe.com/sell/show-6613.html,2023-03-29T10:22:00,4.5817685,船海装备网
东风康明斯发电机组-明泰机电,"['东风康明斯发电机组:发动机型号: 4BT3.9-GM,, 6BT5.9-GM, 6CTA8.9-GM, 6LTAA8.9-GM发电机品牌: Leoy Somer, Stanford, ABB功率范']",https://www.shipoe.com/sell/show-6613.html,2023-03-29T10:22:00,4.5817685,船海装备网
