所属公司,设备描述,设备链接,发布日期,相关度评分,来源
供济柴6190远传显示器,['供应济南柴油机厂6190远传显示器，济柴YD908监控仪仪表故障维修。济柴G6190ZLC屏幕显示器，济柴售后B6190柴油机维修，济柴190监'],https://www.shipoe.com/sell/show-7422.html,2021-07-01T18:39:00,11.595974,船海装备网
6DE-18柴油机-安庆中船,['型号：6DE-18发电机组概述安庆-大发6DE-18系列柴油机功率范围是400kW～850kW，6DE-18柴油机有很高的可靠性和耐久性，高效率、低N'],https://www.shipoe.com/sell/show-2689.html,2021-09-15T09:02:00,9.9910345,船海装备网
供驰动6190进排气门，济柴190进排气阀座圈,['济柴190系列进气门，济南柴油机6190排气阀，驰动6190zlc进气阀座圈，济柴190汽缸盖配件维修，济柴190进排气门铰刀工具。'],https://www.shipoe.com/sell/show-7423.html,2021-07-01T18:39:00,7.1626987,船海装备网
25. 瓦锡兰（中国）有限公司,9L34DF,http://www.eworldship.com/app/cengine/1309,2023-06-01T00:00:00,6.040279,国际船舶网
25. 瓦锡兰（中国）有限公司,WARTSILA,http://www.eworldship.com/app/cengine/1309,2023-06-01T00:00:00,5.9140506,国际船舶网
KYDH203分油机-船用分油机,['\u3000\u3000舟山市定海祥海分油机配件厂供应KYDH203分油机（船用分油机）'],https://www.shipoe.com/sell/show-3885.html,2018-09-06T16:42:00,5.745911,船海装备网
25. 瓦锡兰（中国）有限公司,WARTSILA,http://www.eworldship.com/app/cengine/1309,2023-06-01T00:00:00,5.4360614,国际船舶网
10. 青岛海西船舶柴油机有限公司,7UEC50LSE(21bar),http://www.eworldship.com/app/cengine/2179,2023-06-01T00:00:00,5.3730154,国际船舶网
阿法拉法204分油机-船用分油机,['\u3000\u3000舟山市定海祥海分油机配件厂供应阿法拉法204分油机（船用分油机）\u3000\u3000阿法拉法204分油机\u3000\u3000产品名称： 阿法拉法204\u3000\u3000产品'],https://www.shipoe.com/sell/show-3882.html,2018-09-06T16:42:00,5.299444,船海装备网
阿法拉法205型分油机-船用分油机,['\u3000\u3000舟山市定海祥海分油机配件厂供应阿法拉法205型分油机（船用分油机）\u3000\u3000阿法拉法205型分油机\u3000\u3000产品编号： 1261619016\u3000\u3000'],https://www.shipoe.com/sell/show-3881.html,2018-09-06T16:42:00,5.2381406,船海装备网
